x,y,z,label,source
0.2874437,1.155097,-0.3536045,0,HeadPositionNS
0.2874612,1.155064,-0.3536105,0,HeadPositionNS
0.2874733,1.155015,-0.3536085,0,HeadPositionNS
0.287489,1.154992,-0.3536021,0,HeadPositionNS
0.2875034,1.154965,-0.3535854,0,HeadPositionNS
0.2875096,1.154951,-0.3535828,0,HeadPositionNS
0.2875291,1.154933,-0.35357,0,HeadPositionNS
0.2875273,1.154939,-0.3535539,0,HeadPositionNS
0.2875276,1.154947,-0.3535295,0,HeadPositionNS
0.2875229,1.154962,-0.353496,0,HeadPositionNS
0.2875167,1.154981,-0.3534712,0,HeadPositionNS
0.2875066,1.155007,-0.353434,0,HeadPositionNS
0.2874975,1.155009,-0.3534088,0,HeadPositionNS
0.2874976,1.155003,-0.3533847,0,HeadPositionNS
0.2874992,1.154985,-0.3533755,0,HeadPositionNS
0.2875345,1.154945,-0.3533809,0,HeadPositionNS
0.2875525,1.154899,-0.3533837,0,HeadPositionNS
0.2875597,1.154875,-0.3533658,0,HeadPositionNS
0.2875604,1.154867,-0.3533483,0,HeadPositionNS
0.2875651,1.154884,-0.3533042,0,HeadPositionNS
0.2875497,1.154912,-0.3532465,0,HeadPositionNS
0.2875413,1.154905,-0.3532262,0,HeadPositionNS
0.2875457,1.154878,-0.3532014,0,HeadPositionNS
0.2875481,1.154858,-0.3532056,0,HeadPositionNS
0.2875847,1.154876,-0.3532766,0,HeadPositionNS
0.2876346,1.154904,-0.3532879,0,HeadPositionNS
0.287673,1.154979,-0.3532306,0,HeadPositionNS
0.287692,1.155061,-0.353166,0,HeadPositionNS
0.2877212,1.155103,-0.3530942,0,HeadPositionNS
0.2877473,1.155079,-0.3530682,0,HeadPositionNS
0.2878007,1.155028,-0.3530135,0,HeadPositionNS
0.2878391,1.154976,-0.3529806,0,HeadPositionNS
0.2878722,1.154896,-0.3529367,0,HeadPositionNS
0.2879263,1.154741,-0.3528981,0,HeadPositionNS
0.2879898,1.154502,-0.352835,0,HeadPositionNS
0.2880591,1.154382,-0.3527658,0,HeadPositionNS
0.2881342,1.15435,-0.3526682,0,HeadPositionNS
0.2882396,1.154431,-0.3525227,0,HeadPositionNS
0.288303,1.154417,-0.3523778,0,HeadPositionNS
0.2883499,1.154359,-0.3522337,0,HeadPositionNS
0.2883768,1.154307,-0.3521247,0,HeadPositionNS
0.2883913,1.154274,-0.3520387,0,HeadPositionNS
0.2883794,1.154205,-0.3519687,0,HeadPositionNS
0.2883644,1.154157,-0.3519185,0,HeadPositionNS
0.2883237,1.154141,-0.3519213,0,HeadPositionNS
0.2882831,1.154136,-0.3518964,0,HeadPositionNS
0.2882169,1.154174,-0.3518943,0,HeadPositionNS
0.2882043,1.154177,-0.3518844,0,HeadPositionNS
0.288224,1.154183,-0.3518778,0,HeadPositionNS
0.2882991,1.154237,-0.3519054,0,HeadPositionNS
0.288328,1.154303,-0.3519299,0,HeadPositionNS
0.2883981,1.154376,-0.3519772,0,HeadPositionNS
0.2884997,1.154405,-0.3520103,0,HeadPositionNS
0.2885461,1.154427,-0.3520292,0,HeadPositionNS
0.2886096,1.15448,-0.3520516,0,HeadPositionNS
0.2886928,1.154543,-0.3520843,0,HeadPositionNS
0.288778,1.154548,-0.3520927,0,HeadPositionNS
0.2888469,1.15454,-0.3521009,0,HeadPositionNS
0.2888892,1.154464,-0.3520787,0,HeadPositionNS
0.2889489,1.154448,-0.3520853,0,HeadPositionNS
0.2889676,1.154354,-0.3520823,0,HeadPositionNS
0.2889539,1.154274,-0.3521087,0,HeadPositionNS
0.2889454,1.154255,-0.3521532,0,HeadPositionNS
0.2889628,1.154251,-0.3521928,0,HeadPositionNS
0.2889581,1.154317,-0.3522979,0,HeadPositionNS
0.2889533,1.154316,-0.3523411,0,HeadPositionNS
0.2889114,1.15437,-0.3524094,0,HeadPositionNS
0.2888864,1.154406,-0.3524436,0,HeadPositionNS
0.2888596,1.154444,-0.3524796,0,HeadPositionNS
0.2888345,1.154474,-0.3525157,0,HeadPositionNS
0.2888034,1.154518,-0.352558,0,HeadPositionNS
0.2887863,1.154568,-0.352594,0,HeadPositionNS
0.2887229,1.154636,-0.3526092,0,HeadPositionNS
0.2886758,1.154688,-0.3526315,0,HeadPositionNS
0.2886172,1.154704,-0.3526379,0,HeadPositionNS
0.288554,1.154713,-0.3526503,0,HeadPositionNS
0.2884852,1.154717,-0.3526579,0,HeadPositionNS
0.288433,1.154693,-0.3526508,0,HeadPositionNS
0.2883867,1.154668,-0.3526336,0,HeadPositionNS
0.2883279,1.154649,-0.3526389,0,HeadPositionNS
0.2882693,1.154621,-0.3526167,0,HeadPositionNS
0.2882148,1.154612,-0.3526177,0,HeadPositionNS
0.2881687,1.154591,-0.352629,0,HeadPositionNS
0.288128,1.154586,-0.3526312,0,HeadPositionNS
0.2881009,1.154595,-0.3526182,0,HeadPositionNS
0.2880896,1.154606,-0.3526084,0,HeadPositionNS
0.2880666,1.154606,-0.3526034,0,HeadPositionNS
0.2880386,1.1546,-0.3525932,0,HeadPositionNS
0.288026,1.154586,-0.3525714,0,HeadPositionNS
0.2879941,1.154575,-0.3525583,0,HeadPositionNS
0.2879536,1.154573,-0.3525622,0,HeadPositionNS
0.2879067,1.154561,-0.3525606,0,HeadPositionNS
0.2878489,1.154547,-0.3525573,0,HeadPositionNS
0.2878008,1.154557,-0.3525682,0,HeadPositionNS
0.2877624,1.154583,-0.3525848,0,HeadPositionNS
0.2877092,1.154585,-0.3525648,0,HeadPositionNS
0.2876503,1.154587,-0.352504,0,HeadPositionNS
0.2876208,1.154623,-0.3524601,0,HeadPositionNS
0.2876037,1.154678,-0.3524508,0,HeadPositionNS
0.2875659,1.154701,-0.3524501,0,HeadPositionNS
0.28755,1.154713,-0.3524527,0,HeadPositionNS
0.2875115,1.154705,-0.3524797,0,HeadPositionNS
0.2875057,1.154661,-0.3525176,0,HeadPositionNS
0.2874927,1.15462,-0.3525504,0,HeadPositionNS
0.2875156,1.15458,-0.3525946,0,HeadPositionNS
0.28751,1.154556,-0.3526201,0,HeadPositionNS
0.2874848,1.15453,-0.3526532,0,HeadPositionNS
0.2874641,1.154513,-0.3526781,0,HeadPositionNS
0.2874406,1.154502,-0.352706,0,HeadPositionNS
0.2874283,1.154516,-0.3527423,0,HeadPositionNS
0.287391,1.154537,-0.3527835,0,HeadPositionNS
0.2873563,1.154556,-0.3528265,0,HeadPositionNS
0.2873192,1.154593,-0.3528884,0,HeadPositionNS
0.2873254,1.154607,-0.3529334,0,HeadPositionNS
0.2873455,1.154654,-0.3529693,0,HeadPositionNS
0.2873509,1.154711,-0.3529927,0,HeadPositionNS
0.2873597,1.154765,-0.3529831,0,HeadPositionNS
0.2873688,1.154786,-0.352999,0,HeadPositionNS
0.2874063,1.154816,-0.3530025,0,HeadPositionNS
0.2874179,1.154822,-0.3530163,0,HeadPositionNS
0.2874185,1.154828,-0.3530208,0,HeadPositionNS
0.2874102,1.154822,-0.3530358,0,HeadPositionNS
0.287412,1.154813,-0.3530286,0,HeadPositionNS
0.287402,1.154791,-0.3530225,0,HeadPositionNS
0.2874168,1.154752,-0.3529994,0,HeadPositionNS
0.2874272,1.154709,-0.3529447,0,HeadPositionNS
0.2874501,1.154661,-0.3528888,0,HeadPositionNS
0.2874722,1.154657,-0.3528615,0,HeadPositionNS
0.2874966,1.154655,-0.3528471,0,HeadPositionNS
0.2875053,1.154665,-0.3528282,0,HeadPositionNS
0.2875236,1.154658,-0.3528116,0,HeadPositionNS
0.2875392,1.154665,-0.3527896,0,HeadPositionNS
0.2875736,1.154687,-0.3527716,0,HeadPositionNS
0.2875924,1.154706,-0.3527631,0,HeadPositionNS
0.2876054,1.154715,-0.3527682,0,HeadPositionNS
0.2876384,1.154698,-0.352763,0,HeadPositionNS
0.2876656,1.154652,-0.3527499,0,HeadPositionNS
0.2876956,1.154621,-0.3527444,0,HeadPositionNS
0.2877017,1.154613,-0.3527597,0,HeadPositionNS
0.2876874,1.154599,-0.3527846,0,HeadPositionNS
0.2876316,1.154612,-0.3528287,0,HeadPositionNS
0.2875915,1.154622,-0.3528572,0,HeadPositionNS
0.2875711,1.154652,-0.3528844,0,HeadPositionNS
0.287566,1.154678,-0.352894,0,HeadPositionNS
0.2875781,1.154698,-0.3528949,0,HeadPositionNS
0.2875809,1.154728,-0.3528978,0,HeadPositionNS
0.2875594,1.154746,-0.3529281,0,HeadPositionNS
0.2875333,1.154765,-0.352948,0,HeadPositionNS
0.2875186,1.154771,-0.3529716,0,HeadPositionNS
